City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
536,Kropotkin,45.4375,40.5756,-4.19,78,73,9.74,RU,2022-12-05 00:20:38
537,Manono,-7.3,27.4167,20.1,99,100,2.58,CD,2022-12-05 00:20:38
538,Kushima,31.4583,131.2333,11.32,91,100,3.24,JP,2022-12-05 00:20:38
539,Pangkalanbuun,-2.6833,111.6167,25.34,90,91,0.73,ID,2022-12-05 00:17:10
540,Saint-Louis,16.3333,-15.0,22.48,43,96,4.19,SN,2022-12-05 00:20:39
541,Yulara,-25.2406,130.9889,34.39,12,3,7.71,AU,2022-12-05 00:20:39
542,Shingu,33.7333,135.9833,11.25,55,83,1.88,JP,2022-12-05 00:20:39
543,Bela Vista De Goias,-16.9728,-48.9533,21.64,89,100,1.52,BR,2022-12-05 00:20:40
544,Lagoa,39.05,-27.9833,15.26,71,100,5.42,PT,2022-12-05 00:20:40
545,Semporna,4.4818,118.6112,26.58,87,100,3.64,MY,2022-12-05 00:20:40
546,Riohacha,11.5444,-72.9072,27.06,78,0,3.6,CO,2022-12-05 00:20:41
547,Osinovo,55.8809,48.881,-16.95,98,67,2.2,RU,2022-12-05 00:20:41
548,Kalmunai,7.4167,81.8167,24.3,89,98,2.89,LK,2022-12-05 00:20:41
549,Les Escoumins,48.1111,-69.0236,-7.36,67,82,1.31,CA,2022-12-05 00:20:42
550,Amurzet,47.6967,131.0981,-19.44,88,7,2.77,RU,2022-12-05 00:20:42
551,Bilibino,68.0546,166.4372,-28.12,100,99,1.04,RU,2022-12-05 00:20:42
552,Kabinda,-6.1333,24.4833,18.16,99,100,1.83,CD,2022-12-05 00:20:43
